Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Clustering Coef,,,,,
the hippogriff,the hippogriff,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.070388995,0.0,0.006686934472003622,0.0,0,18,,0.141330822185158,58
Malfoy,Malfoy,4,3,7,12.0,4.0,16.0,4.0,0.3614457831325301,0.39583333333333315,5.2046783625731E-4,0.15596828,0.0577016,0.013821467592581712,0.523809552192688,0,22,,0.3476311736047474,58
Neville,Neville,5,2,7,6.0,4.0,10.0,4.0,0.3468208092485549,0.3763888888888888,5.847953216374268E-4,0.14379825,0.04575299,0.014322348723672735,0.380952388048172,0,22,,0.3128468078078381,58
Professor Trelawney,Professor Trelawney,2,6,8,2.0,6.0,8.0,4.0,0.4580152671755725,0.5041666666666663,8.187134502923975E-4,0.09171189,0.15060323,0.008506885266739123,0.3095238208770752,0,22,,0.17203960014043448,58
Professor McGonagall,Professor McGonagall,5,6,11,9.0,14.0,23.0,4.0,0.47244094488188976,0.5152777777777776,0.01807017543859649,0.14058946,0.14456446,0.01735100893083574,0.2857142984867096,0,22,,0.3633124704284033,58
They,They,4,5,9,6.0,8.0,14.0,4.0,0.45112781954887216,0.49305555555555525,0.0017126148705096072,0.13304354,0.13434003,0.014480190500585782,0.375,0,22,,0.3043668766932987,65
Crookshanks,Crookshanks,4,4,8,8.0,4.0,12.0,4.0,0.4580152671755725,0.4930555555555553,0.03345948203842942,0.12789279,0.10814202,0.04043095522968186,0.46666666865348816,0,22,,0.3618819565997915,58
Crabbe,Crabbe,1,1,2,1.0,1.0,2.0,5.0,0.31413612565445026,0.32972222222222225,0.0,0.070388995,0.011948606,0.006686934472003622,1.0,0,22,,0.141330822185158,58
their dying parents,their dying parents,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.070388995,0.0,0.006686934472003622,0.0,0,17,,0.141330822185158,58
Fred,Fred,1,3,4,2.0,5.0,7.0,4.0,0.45454545454545453,0.48472222222222194,0.0,0.070388995,0.09110621,0.006686934472003622,0.6666666865348816,0,22,,0.141330822185158,47
George,George,3,4,7,3.0,4.0,7.0,3.0,0.48,0.5083333333333332,0.017855889724310778,0.123048164,0.102900915,0.011377683674292292,0.4333333373069763,0,22,,0.28143150512137016,7
Hagrid,Hagrid,3,10,13,8.0,13.0,21.0,4.0,0.5,0.5569444444444442,0.004260651629072682,0.118519165,0.25685722,0.011229926546266866,0.290909081697464,0,22,,0.2520461748192057,58
