E1,E2,W
Madame Maxime,Fleur,2.0
Madame Maxime,Hagrid,1.0
Madame Maxime,Hermione,1.0
Madame Maxime,Krum,1.0
George,Harry,1.0
George,Baddock,1.0
George,Professor McGonagall,1.0
George,Bagman,1.0
George,Malfoy,1.0
George,Crabbe,1.0
Fleur,Harry,2.0
Fleur,Ron,1.0
Fleur,Cedric,1.0
Uncle Vernon,Harry,1.0
Uncle Vernon,Aunt Petunia,1.0
Uncle Vernon,Crouch,1.0
Professor McGonagall,Hermione,1.0
Professor McGonagall,Peeves,1.0
Professor McGonagall,George,1.0
Professor McGonagall,Harry,4.0
Professor McGonagall,Crouch Junior,1.0
Neville,Ron,1.0
Percy,Bagman,2.0
Percy,Crouch,3.0
Percy,Ron,2.0
Bill,Fleur,1.0
Snape,Fudge,1.0
Mr. Diggory,Crouch,1.0
Mr. Diggory,Harry,1.0
Hedwig,Crookshanks,1.0
Percy,Dumbledore,1.0
Bertha Jorkins,Harry,1.0
Ginny,Ron,2.0
Ginny,Harry,1.0
Myrtle,Harry,1.0
Charlie,Ginny,1.0
Charlie,Madame Maxime,1.0
Professor Trelawney,Ron,1.0
Professor Trelawney,Harry,1.0
Parvati,Padma,1.0
Cho,Harry,2.0
Cho,Cedric,1.0
Filch,Dumbledore,1.0
Filch,Harry,2.0
Madam Pomfrey,Harry,3.0
Madam Pomfrey,Ron,1.0
Lucius Malfoy,Fudge,1.0
the Fat Lady,Ron,1.0
Dean,Harry,1.0
Pansy Parkinson,Hermione,1.0
Professor Sprout,Harry,1.0
Padma,Ron,2.0
Voldemort,Nagini,1.0
Lee Jordan,Harry,2.0
Lee Jordan,Ron,1.0
Lee Jordan,Hermione,1.0
Lynch,Krum,1.0
Professor Grubbly - Plank,Hagrid,1.0
Dumbledore,Crouch,1.0
Mrs. Norris,Filch,1.0
Minerva,Fudge,1.0
Moran,Lynch,1.0
Macnair,Voldemort,1.0
Connolly,Lynch,1.0
Oliver Wood,Harry,2.0
