Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigen centrality,Clustering Coef
the man who had destroyed her life,the man who had destroyed her life,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.094065376,0.0,0.005854920362217467,0.20257245346554756,0.0
the house - keeper,the house - keeper,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.094065376,0.0,0.005854920362217467,0.20257245346554756,0.0
the girl whom he had lured to love him that he was poor,the girl whom he had lured to love him that he was poor,1,1,2,2.0,1.0,3.0,5.0,0.3686635944700461,0.3972916666666661,0.0,0.094065376,0.08002727,0.005854920362217467,0.20257245346554756,0.0
somebody,somebody,1,0,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.094065376,0.0,0.005854920362217467,0.20257245346554756,0.0
Mr. Hubbard,Mr. Hubbard,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.094065376,0.0,0.005854920362217467,0.20257245346554756,0.0
Lord Staveley,Lord Staveley,1,1,2,1.0,1.0,2.0,5.0,0.3686635944700461,0.3972916666666661,0.0,0.094065376,0.08002727,0.005854920362217467,0.20257245346554756,0.0
his father,his father,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.094065376,0.0,0.005854920362217467,0.20257245346554756,0.0
Her,Her,1,1,2,1.0,1.0,2.0,5.0,0.3686635944700461,0.3972916666666661,0.0,0.094065376,0.08002727,0.005854920362217467,0.20257245346554756,0.0
any one,any one,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.094065376,0.0,0.005854920362217467,0.20257245346554756,0.0
a man,a man,1,1,2,1.0,1.0,2.0,5.0,0.3686635944700461,0.3972916666666661,0.0,0.094065376,0.08002727,0.005854920362217467,0.20257245346554756,0.0
a dead girl,a dead girl,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.094065376,0.0,0.005854920362217467,0.20257245346554756,0.0
the company,the company,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.017218383,0.0,0.005918120449909103,0.0721361395437159,0.0
Rosalind,Rosalind,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.017218383,0.0,0.005918120449909103,0.0721361395437159,0.0
this person,this person,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012611393,0.0,0.0060083482247420585,0.05475342488437836,0.0
Hetty,Hetty,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012611393,0.0,0.0060083482247420585,0.05475342488437836,0.0
