Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Luna,3,2,5,12.0,2.0,14.0,5.0,0.43258426966292135,0.46298701298701317,0.0,0.11371049,0.077079155,0.010794607581615169,0.20468105692312313,0.75
Mr. Lovegood,4,3,7,8.0,7.0,15.0,5.0,0.4350282485875706,0.4694805194805197,4.4165923610484944E-4,0.1474158,0.090504415,0.012893679207367168,0.2578247889837641,0.5
Muriel,3,2,5,3.0,6.0,9.0,5.0,0.43258426966292135,0.46298701298701306,0.010652920962199313,0.10258879,0.051962007,0.012015038987002617,0.17456192249707037,0.3333333432674408
the waitress,2,1,3,2.0,1.0,3.0,6.0,0.32489451476793246,0.3499999999999999,0.0,0.11122929,0.022969771,0.008376448996410211,0.19978232291177342,1.0
Kreacher,5,3,8,11.0,4.0,15.0,5.0,0.4350282485875706,0.4694805194805197,0.011156111929307804,0.13969055,0.09585285,0.015730160615158133,0.2666597937157447,0.30000001192092896
Mundungus,5,1,6,9.0,1.0,10.0,5.0,0.42777777777777776,0.4543290043290044,0.0,0.15901117,0.051237687,0.018972439559524115,0.3212536092420486,0.6000000238418579
Scrimgeour,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09089472,0.0,0.008132661744512559,0.14410130760775458,0.0
Mrs. Cattermole,4,0,4,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.12108565,0.0,0.012191159349351319,0.19717767239490486,0.1666666716337204
Yaxley,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.089627706,0.0,0.00566078989171317,0.14267456198787584,0.0
Grindelwald,2,1,3,3.0,1.0,4.0,5.0,0.42777777777777776,0.4543290043290044,0.0,0.11526477,0.051237687,0.006792760088842729,0.17277311914248128,1.0
Snape,9,7,16,12.0,15.0,27.0,4.0,0.4666666666666667,0.508658008658009,0.030924078025908457,0.18243046,0.120419756,0.02501230764363672,0.3380022314894783,0.15909090638160706
Professor McGonagall,2,1,3,2.0,1.0,3.0,5.0,0.32083333333333336,0.3385281385281384,0.0,0.11177429,0.021538703,0.0069666170041196435,0.18775035061673323,1.0
Bathilda,1,1,2,2.0,1.0,3.0,5.0,0.42777777777777776,0.4543290043290044,0.0,0.089627706,0.051237687,0.00566078989171317,0.14267456198787584,0.0
Lily,4,0,4,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.11568577,0.0,0.01398124281477476,0.21573328933931624,0.4166666567325592
Greyback,5,3,8,7.0,4.0,11.0,4.0,0.4476744186046512,0.47619047619047655,0.004891814359518966,0.13029307,0.08849631,0.014683707645060396,0.25534578280857323,0.36666667461395264
Bellatrix,3,6,9,5.0,8.0,13.0,4.0,0.385,0.43398268398268375,0.0013044393014937934,0.11948929,0.1201488,0.011134988737078586,0.21568255228353922,0.3571428656578064
Dobby,2,1,3,3.0,1.0,4.0,6.0,0.3031496062992126,0.3186147186147187,0.014937933936461182,0.09089472,0.0,0.010472738471654922,0.16304949854311093,0.3333333432674408
Griphook,4,4,8,5.0,10.0,15.0,5.0,0.4425287356321839,0.4803030303030307,0.0012327218565383934,0.12677354,0.116808206,0.010105375097583807,0.2107609911436354,0.380952388048172
Fleur,4,3,7,6.0,3.0,9.0,6.0,0.31950207468879666,0.3521645021645021,0.007486499754540991,0.14117967,0.0335028,0.01407512272869872,0.2809132581676582,0.4000000059604645
The barman,1,1,2,1.0,1.0,2.0,7.0,0.2347560975609756,0.24851576994434119,0.0,0.089627706,0.010731511,0.00566078989171317,0.14267456198787584,0.5
Aberforth,3,1,4,4.0,1.0,5.0,5.0,0.42777777777777776,0.4543290043290044,0.0,0.143347,0.051237687,0.008379385840882101,0.2244227383097528,0.8333333134651184
Neville,2,4,6,5.0,8.0,13.0,5.0,0.4425287356321839,0.4803030303030307,2.378614676110994E-4,0.11177429,0.11347419,0.0069666170041196435,0.18775035061673323,0.550000011920929
Pansy,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.089627706,0.0,0.00566078989171317,0.14267456198787584,0.0
Fred,2,1,3,3.0,1.0,4.0,5.0,0.42777777777777776,0.4543290043290044,0.0,0.103227116,0.051237687,0.008093476636540885,0.1740124536506086,1.0
Grawp,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.089627706,0.0,0.00566078989171317,0.14267456198787584,0.0
Draco,4,6,10,6.0,7.0,13.0,4.0,0.463855421686747,0.5021645021645025,0.012343081562521917,0.14367548,0.12826708,0.0115141662324198,0.2657002306631782,0.2678571343421936
Goyle,4,0,4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.15445541,0.0,0.011594259228266872,0.28797363480131744,0.75
Percy,1,2,3,2.0,2.0,4.0,6.0,0.3155737704918033,0.3413419913419913,0.0,0.089627706,0.02420044,0.00566078989171317,0.14267456198787584,0.8333333134651184
Nagini,3,1,4,3.0,1.0,4.0,5.0,0.42777777777777776,0.4543290043290044,0.0,0.12948216,0.051237687,0.009829909066250052,0.22026393780028408,1.0
Sirius,1,1,2,3.0,1.0,4.0,6.0,0.3055555555555556,0.3229437229437229,0.0,0.089627706,0.016492603,0.00566078989171317,0.14267456198787584,1.0
James,1,3,4,1.0,3.0,4.0,5.0,0.4375,0.471645021645022,0.0,0.089627706,0.08643486,0.00566078989171317,0.14267456198787584,0.6666666865348816
Lucius Malfoy,1,3,4,1.0,4.0,5.0,5.0,0.4375,0.471645021645022,0.0,0.089627706,0.08815947,0.00566078989171317,0.14267456198787584,0.6666666865348816
Narcissa,2,2,4,2.0,2.0,4.0,5.0,0.3235294117647059,0.34718614718614704,6.136475208640157E-5,0.11177429,0.03234617,0.0069666170041196435,0.18775035061673323,0.75
Seamus,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.089627706,0.0,0.00566078989171317,0.14267456198787584,0.0
Abbott,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.089627706,0.0,0.00566078989171317,0.14267456198787584,0.0
